Frame_Number,Pedestrian_ID,X_Position,Y_Position,Distance_Increment,Robot_Presence,Robot_Type,Robot_Influence,X_Robot,Y_Robot
1737975951423,110,3.46257115653626,-4.90918791612291,0.0457393162782649,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975951490,110,3.4932308285568,-4.87444031984053,0.046340165470255,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975951556,110,3.52420388724328,-4.83873259250492,0.0472691459185641,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975951623,110,3.55459975603756,-4.80276419231403,0.0470917684107389,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975951690,110,3.58512839026705,-4.76687471545225,0.0471174283819692,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975951757,110,3.61589499746075,-4.73206876417703,0.0464546915002647,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975951823,110,3.64639588786997,-4.69776270868719,0.0459043544669455,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975951890,110,3.67657703717599,-4.6630023123648,0.0460346274658742,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975951956,110,3.70595110152718,-4.62721534507643,0.0462984090893742,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975952023,110,3.73441732436287,-4.59013277231719,0.0467487223886945,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975952090,110,3.76187541601542,-4.55163258773132,0.0472885928141844,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975952156,110,3.78847526297064,-4.51139353742969,0.0482362211125459,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975952223,110,3.81439946724147,-4.47005752991215,0.0487927236846402,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975952290,110,3.83957750263987,-4.42853717856377,0.0485579349088949,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975952356,110,3.86391586288259,-4.38741373800461,0.0477859094579839,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975952423,110,3.88800198403311,-4.34764808846745,0.04649137678312,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975952490,110,3.91203163497359,-4.30789225105533,0.0464537483165834,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975952556,110,3.93592343114879,-4.2676653979099,0.0467869387592442,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975952623,110,3.9591915772174,-4.2264711549004,0.0473114391938773,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975952690,110,3.9817111383672,-4.18422186700427,0.0478762254371609,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975952757,110,4.00328482175056,-4.14050958274853,0.0487461548184064,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975952823,110,4.02404939827174,-4.09546592075444,0.0495993863262572,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975952889,110,4.04423703383614,-4.04960761698391,0.0501051360081052,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975952956,110,4.06403785343428,-4.00375925990778,0.049941408703989,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975953023,110,4.08310142774681,-3.95777289065657,0.0497811814090215,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975953089,110,4.10202818671377,-3.91266651241869,0.0489163322698298,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975953157,110,4.12104738255852,-3.86811148767471,0.0484446079612332,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975953223,110,4.14005828399472,-3.82317496946969,0.0487924691095489,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975953290,110,4.15872208130165,-3.77717503411215,0.0496420324202443,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975953357,110,4.17667481876908,-3.73028276420865,0.0502114106481524,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975953424,110,4.19366652761173,-3.68217583962051,0.0510195488290759,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975953490,110,4.20977332241336,-3.63348801494809,0.0512828734580449,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975953556,110,4.22435103982953,-3.58392661850523,0.0516608348987121,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975953623,110,4.23778671926559,-3.53439065092031,0.0513257203211313,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975953690,110,4.25040002944499,-3.48443963966025,0.0515189200156951,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975953757,110,4.26237849822878,-3.43465017988829,0.0512100968441609,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975953823,110,4.27386742646796,-3.38448246635147,0.0514664449286892,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975953890,110,4.28506019530508,-3.3334126727837,0.0522819461123578,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975953956,110,4.29634456188518,-3.28120686105553,0.053411456704638,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975954023,110,4.30739493101595,-3.22795280359601,0.0543884665515368,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975954090,110,4.31797510308838,-3.1740395619284,0.05494158414346,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975954157,110,4.32784909673351,-3.11958324093012,0.0553442557739424,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975954223,110,4.33703845541233,-3.06559375338464,0.0547659481644579,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975954290,110,4.34576046834234,-3.01291672150545,0.0533942243800926,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975954357,110,4.35408919124572,-2.96057512111387,0.0530001014787115,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975954423,110,4.36203150826047,-2.90711915704135,0.0540427654222596,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975954490,110,4.36946255684614,-2.85216839364452,0.0554509412091193,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975954557,110,4.37706952290403,-2.79615340492313,0.0565291508344415,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975954624,110,4.38483798486879,-2.73909203151342,0.0575877533569415,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975954690,110,4.3925608548824,-2.68136903295659,0.0582373358219517,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975954757,110,4.4001589338596,-2.6235810788293,0.0582853193039405,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975954823,110,4.40725070647105,-2.56597037791649,0.0580455519263772,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975954889,110,4.41357695492362,-2.50919630647501,0.0571254462348051,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975954956,110,4.41910855775101,-2.45364584783987,0.055825192202216,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975955023,110,4.42407907338164,-2.39728188727797,0.0565827012068002,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975955090,110,4.42901971962462,-2.33896957105237,0.0585212457906689,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975955157,110,4.4343481285134,-2.27889534100716,0.0603100742563891,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975955223,110,4.44000756564879,-2.21765893025621,0.0614973758005075,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975955290,110,4.44596216115345,-2.15593434186973,0.0620111443137765,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975955356,110,4.45208119621147,-2.09368545345019,0.0625489144550895,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975955423,110,4.45860579651589,-2.031171015172,0.0628540006870659,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975955490,110,4.46536346697377,-1.96952870949393,0.0620116114878937,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975955557,110,4.4722970246782,-1.9096190384486,0.0603095590035338,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975955623,110,4.47931615627424,-1.85145606620916,0.0585849771536081,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975955690,110,4.48656233108017,-1.79427264500077,0.0576407035905541,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975955756,110,4.49405748454398,-1.73551434243884,0.0592344109906189,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975955823,110,4.50181010774383,-1.67472544304924,0.0612812651262774,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975955889,110,4.5100110699013,-1.61250623238627,0.0627573577824273,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975955957,110,4.51887734553763,-1.54974512816492,0.0633842807543231,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975956023,110,4.52831771989326,-1.4867447156775,0.0637037882826335,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975956090,110,4.53787567322933,-1.42465312417205,0.0628229274043666,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975956156,110,4.54768755426485,-1.36415734601815,0.0612863131857414,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975956224,110,4.55778232851734,-1.30616443458309,0.0588649491966515,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975956290,110,4.56825377010536,-1.24907472133509,0.0580421092627601,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975956357,110,4.5792401267504,-1.19132704044218,0.0587834558429545,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975956423,110,4.59086441254802,-1.1309044621238,0.0615305776906574,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975956490,110,4.60320251339522,-1.06844761371075,0.0636638566708516,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975956556,110,4.61615308522675,-1.00469191028296,0.0650577207588402,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975956623,110,4.62969833581499,-0.940550908233093,0.0655556401651266,1,Go1,neutral,1.38754570311004,12.8948963503557
1737975956690,110,4.64384121120302,-0.876791404889416,0.0653092274558015,1,Go1,neutral,1.38754570311004,12.8948963503557
